int(self),tree_cov,global_min_size,avg_grove_size,n_respectful_sheperd,n_disrespectful_sheperd,goat_eating_cap,min_spread_seed_proba,current_date.month,current_date.year
0,0.7584,10.0,42.904,3,5,0.4,0.0455,1,1975
1,0.7584,10.0,42.904,3,5,0.4,0.0455,1,1975
2,0.7408,10.0,42.1144,3,5,0.3,0.0455,1,1975
3,0.7408,10.0,42.1144,3,5,0.3,0.0455,1,1975
4,0.764,10.0,42.4252,3,5,0.5,0.0455,1,1975
5,0.764,10.0,42.4252,3,5,0.5,0.0455,1,1975
6,0.7584,10.0,42.904,3,5,0.4,0.045,1,1975
7,0.7584,10.0,42.904,3,5,0.4,0.045,1,1975
8,0.7584,10.0,42.904,3,5,0.4,0.046,1,1975
9,0.7584,10.0,42.904,3,5,0.4,0.046,1,1975
10,0.7528,10.0,42.4904,2,6,0.4,0.0455,1,1975
11,0.7528,10.0,42.4904,2,6,0.4,0.0455,1,1975
12,0.7376,10.0,42.024,4,4,0.4,0.0455,1,1975
13,0.7376,10.0,42.024,4,4,0.4,0.0455,1,1975
14,0.7232,10.0,41.4592,4,4,0.3,0.0455,1,1975
15,0.7232,10.0,41.4592,4,4,0.3,0.0455,1,1975
16,0.764,10.0,42.4252,4,4,0.5,0.0455,1,1975
17,0.764,10.0,42.4252,4,4,0.5,0.0455,1,1975
18,0.7376,10.0,42.024,4,4,0.4,0.045,1,1975
19,0.7376,10.0,42.024,4,4,0.4,0.045,1,1975
20,0.7376,10.0,42.024,4,4,0.4,0.046,1,1975
21,0.7376,10.0,42.024,4,4,0.4,0.046,1,1975
22,0.7304,10.0,41.7768,5,3,0.4,0.0455,1,1975
23,0.7304,10.0,41.7768,5,3,0.4,0.0455,1,1975
24,0.7356,10.0,42.1496,5,3,0.3,0.0455,1,1975
25,0.7356,10.0,42.1496,5,3,0.3,0.0455,1,1975
26,0.7472,10.0,42.0584,5,3,0.5,0.0455,1,1975
27,0.7472,10.0,42.0584,5,3,0.5,0.0455,1,1975
28,0.7304,10.0,41.7768,5,3,0.4,0.045,1,1975
29,0.7304,10.0,41.7768,5,3,0.4,0.045,1,1975
30,0.7304,10.0,41.7768,5,3,0.4,0.046,1,1975
