int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.302,0,8,0.0,0.0,1,1970
0,0.2796,0,8,10.0,15.798,1,1970
0,0.2788,0,8,10.0,15.3592,2,1970
0,0.2788,0,8,10.0,16.0804,4,1970
0,0.2788,0,8,10.0,16.8016,6,1970
0,0.2788,0,8,10.0,17.5228,7,1970
0,0.2788,0,8,10.0,18.244,8,1970
0,0.2788,0,8,10.0,18.9652,9,1970
0,0.2788,0,8,10.0,19.6864,10,1970
0,0.2788,0,8,10.0,20.4076,11,1970
0,0.2788,0,8,10.0,21.1288,12,1970
0,0.2788,0,8,10.0,21.85,1,1971
0,0.2784,0,8,10.0,22.2048,2,1971
0,0.2784,0,8,10.0,22.9264,3,1971
0,0.2784,0,8,10.0,23.648,4,1971
0,0.2784,0,8,10.0,24.3696,5,1971
0,0.2784,0,8,10.0,25.0912,6,1971
0,0.2784,0,8,10.0,25.8128,7,1971
0,0.2784,0,8,10.0,26.5344,8,1971
0,0.2784,0,8,10.0,27.256,9,1971
0,0.2784,0,8,10.0,27.9776,10,1971
0,0.2784,0,8,10.0,28.6992,11,1971
0,0.2784,0,8,10.0,29.4208,12,1971
0,0.2784,0,8,10.0,30.1424,1,1972
0,0.2684,0,8,10.0,29.5212,2,1972
0,0.2684,0,8,10.0,30.2528,3,1972
0,0.2684,0,8,10.0,30.9844,4,1972
0,0.2684,0,8,10.0,31.716,5,1972
0,0.2684,0,8,10.0,32.4476,6,1972
0,0.2684,0,8,10.0,33.1792,7,1972
0,0.2684,0,8,10.0,33.9108,8,1972
0,0.2684,0,8,10.0,34.6424,9,1972
0,0.2684,0,8,10.0,35.374,10,1972
0,0.2684,0,8,10.0,36.1056,11,1972
0,0.2684,0,8,10.0,36.8372,12,1972
0,0.2596,0,8,10.0,37.5688,1,1973
0,0.2532,0,8,10.0,35.6364,2,1973
0,0.2532,0,8,10.0,36.3832,3,1973
0,0.2532,0,8,10.0,37.13,4,1973
0,0.2532,0,8,10.0,37.8768,5,1973
0,0.2532,0,8,10.0,38.6236,6,1973
0,0.2532,0,8,10.0,39.3704,7,1973
0,0.2532,0,8,10.0,40.1172,8,1973
0,0.2532,0,8,10.0,40.864,9,1973
0,0.2532,0,8,10.0,41.6108,10,1973
0,0.2532,0,8,10.0,42.3576,11,1973
0,0.2532,0,8,10.0,43.1044,12,1973
0,0.2376,0,8,10.0,43.851200000000006,1,1974
0,0.232,0,8,10.0,40.256400000000006,2,1974
0,0.232,0,8,10.0,41.0244,3,1974
0,0.7788,0,8,10.0,41.7924,4,1974
0,0.798,0,8,10.0,42.0136,5,1974
0,0.798,0,8,10.0,42.2156,6,1974
0,0.798,0,8,10.0,42.4176,8,1974
0,0.798,0,8,10.0,42.6196,8,1974
0,0.798,0,8,10.0,42.8216,9,1974
0,0.798,0,8,10.0,43.0236,10,1974
0,0.798,0,8,10.0,43.2256,10,1974
0,0.798,0,8,10.0,43.4276,1,1975
0,0.7976,0,8,10.0,43.2624,1,1975
0,0.7976,0,8,10.0,43.4648,2,1975
0,0.7976,0,8,10.0,43.6672,3,1975
0,0.7976,0,8,10.0,43.8696,4,1975
0,0.7976,0,8,10.0,44.072,5,1975
0,0.7976,0,8,10.0,44.2744,7,1975
0,0.7976,0,8,10.0,44.4768,8,1975
0,0.7976,0,8,10.0,44.6792,10,1975
0,0.7976,0,8,10.0,44.8816,11,1975
0,0.7976,0,8,10.0,45.084,12,1975
0,0.7976,0,8,10.0,45.2864,1,1976
0,0.7744,0,8,10.0,43.7944,2,1976
0,0.7744,0,8,10.0,44.02,3,1976
0,0.7744,0,8,10.0,44.2456,4,1976
0,0.8016,0,8,10.0,44.4712,5,1976
0,0.8016,0,8,10.0,44.6696,6,1976
0,0.8016,0,8,10.0,44.868,7,1976
0,0.8016,0,8,10.0,45.0664,8,1976
0,0.8016,0,8,10.0,45.2648,9,1976
0,0.8016,0,8,10.0,45.4632,10,1976
0,0.8016,0,8,10.0,45.6616,11,1976
0,0.8016,0,8,10.0,45.86,12,1976
0,0.8012,0,8,10.0,46.0584,1,1977
0,0.7768,0,8,10.0,44.4704,2,1977
0,0.7768,0,8,10.0,44.6936,3,1977
0,0.7768,0,8,10.0,44.9168,4,1977
0,0.8264,0,8,10.0,45.14,5,1977
0,0.8264,0,8,10.0,45.3136,6,1977
0,0.8264,0,8,10.0,45.4872,7,1977
0,0.8264,0,8,10.0,45.6608,8,1977
0,0.8264,0,8,10.0,45.8344,9,1977
0,0.8264,0,8,10.0,46.008,10,1977
0,0.8264,0,8,10.0,46.1816,11,1977
0,0.8264,0,8,10.0,46.3552,12,1977
0,0.7988,0,8,10.0,46.5288,1,1978
0,0.7724,0,8,10.0,43.486,2,1978
0,0.7724,0,8,10.0,43.7136,3,1978
0,0.7724,0,8,10.0,43.9412,4,1978
0,0.8508,0,8,10.0,44.1688,5,1978
0,0.8508,0,8,10.0,44.318,6,1978
0,0.8508,0,8,10.0,44.4672,7,1978
0,0.8508,0,8,10.0,44.6164,8,1978
0,0.8508,0,8,10.0,44.7656,9,1978
0,0.8508,0,8,10.0,44.9148,10,1978
0,0.8508,0,8,10.0,45.064,11,1978
0,0.8508,0,8,10.0,45.2132,12,1978
0,0.796,0,8,10.0,45.3624,1,1979
0,0.7736,0,8,10.0,41.1336,2,1979
0,0.7736,0,8,10.0,41.36,3,1979
0,0.7736,0,8,10.0,41.5864,3,1979
0,0.7736,0,8,10.0,41.8128,4,1979
0,0.7736,0,8,10.0,42.0392,5,1979
0,0.7736,0,8,10.0,42.2656,6,1979
0,0.7736,0,8,10.0,42.492,7,1979
0,0.7736,0,8,10.0,42.7184,8,1979
0,0.7736,0,8,10.0,42.9448,8,1979
0,0.7736,0,8,10.0,43.1712,9,1979
0,0.7236,0,8,10.0,43.3976,10,1979
0,0.7016,0,8,10.0,39.4568,11,1979
0,0.7016,0,8,10.0,39.7552,12,1979
0,0.7272,0,8,10.0,40.0536,1,1980
0,0.7272,0,8,10.0,40.3264,1,1980
0,0.7272,0,8,10.0,40.5992,2,1980
0,0.7272,0,8,10.0,40.872,3,1980
0,0.7272,0,8,10.0,41.1448,4,1980
0,0.7272,0,8,10.0,41.4176,5,1980
0,0.7272,0,8,10.0,41.6904,6,1980
0,0.7272,0,8,10.0,41.9632,7,1980
0,0.686,0,8,10.0,42.236,8,1980
0,0.664,0,8,10.0,38.4592,9,1980
0,0.664,0,8,10.0,38.7952,10,1980
0,0.664,0,8,10.0,39.1312,12,1980
0,0.6856,0,8,10.0,39.4672,1,1981
0,0.6856,0,8,10.0,39.7816,1,1981
0,0.6856,0,8,10.0,40.096,2,1981
0,0.6856,0,8,10.0,40.4104,3,1981
0,0.6856,0,8,10.0,40.7248,4,1981
0,0.6856,0,8,10.0,41.0392,4,1981
0,0.6856,0,8,10.0,41.3536,5,1981
0,0.5556,0,8,10.0,41.668,7,1981
0,0.5392,0,8,10.0,32.8208,8,1981
0,0.5392,0,8,10.0,33.2816,9,1981
0,0.5392,0,8,10.0,33.7424,10,1981
0,0.5392,0,8,10.0,34.2032,11,1981
0,0.5712,0,8,10.0,34.664,12,1981
0,0.5712,0,8,9.0,35.0928,1,1982
0,0.5712,0,8,10.0,35.5216,2,1982
0,0.5712,0,8,10.0,35.9504,3,1982
0,0.5712,0,8,10.0,36.3792,4,1982
0,0.5712,0,8,10.0,36.808,5,1982
