int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.3152,8,0,0.0,0.0,1,1970
0,0.2996,8,0,10.0,15.6804,1,1970
0,0.2996,8,0,10.0,16.3808,2,1970
0,0.2996,8,0,10.0,17.0812,4,1970
0,0.2996,8,0,10.0,17.7816,6,1970
0,0.2996,8,0,10.0,18.482,7,1970
0,0.2996,8,0,10.0,19.1824,8,1970
0,0.2996,8,0,10.0,19.8828,9,1970
0,0.2996,8,0,10.0,20.5832,10,1970
0,0.2996,8,0,10.0,21.2836,11,1970
0,0.2996,8,0,10.0,21.984,12,1970
0,0.2996,8,0,10.0,22.6844,1,1971
0,0.2996,8,0,10.0,23.0328,2,1971
0,0.2996,8,0,10.0,23.7332,3,1971
0,0.2996,8,0,10.0,24.4336,4,1971
0,0.2996,8,0,10.0,25.134,5,1971
0,0.2996,8,0,10.0,25.8344,6,1971
0,0.2996,8,0,10.0,26.5348,7,1971
0,0.2996,8,0,10.0,27.2352,8,1971
0,0.2996,8,0,10.0,27.9356,9,1971
0,0.2996,8,0,10.0,28.636,10,1971
0,0.2996,8,0,10.0,29.3364,11,1971
0,0.2996,8,0,10.0,30.0368,12,1971
0,0.2996,8,0,10.0,30.7372,1,1972
0,0.2896,8,0,10.0,30.0944,2,1972
0,0.2896,8,0,10.0,30.8048,3,1972
0,0.2896,8,0,10.0,31.5152,4,1972
0,0.2896,8,0,10.0,32.2256,5,1972
0,0.2896,8,0,10.0,32.936,6,1972
0,0.2896,8,0,10.0,33.6464,7,1972
0,0.2896,8,0,10.0,34.3568,8,1972
0,0.2896,8,0,10.0,35.0672,9,1972
0,0.2896,8,0,10.0,35.7776,10,1972
0,0.2896,8,0,10.0,36.488,11,1972
0,0.2896,8,0,10.0,37.1984,12,1972
0,0.2792,8,0,10.0,37.9088,1,1973
0,0.2692,8,0,10.0,35.8168,2,1973
0,0.2692,8,0,10.0,36.5476,3,1973
0,0.2692,8,0,10.0,37.2784,4,1973
0,0.2692,8,0,10.0,38.0092,5,1973
0,0.2692,8,0,10.0,38.74,6,1973
0,0.2692,8,0,10.0,39.4708,7,1973
0,0.2692,8,0,10.0,40.2016,8,1973
0,0.2692,8,0,10.0,40.9324,9,1973
0,0.2692,8,0,10.0,41.6632,10,1973
0,0.2692,8,0,10.0,42.394,11,1973
0,0.2692,8,0,10.0,43.1248,12,1973
0,0.2548,8,0,10.0,43.8556,1,1974
0,0.2456,8,0,10.0,40.2328,2,1974
0,0.2456,8,0,10.0,40.9872,3,1974
0,0.796,8,0,10.0,41.7416,4,1974
0,0.796,8,0,10.0,41.9456,5,1974
0,0.796,8,0,10.0,42.1496,6,1974
0,0.796,8,0,10.0,42.3536,8,1974
0,0.796,8,0,10.0,42.5576,8,1974
0,0.796,8,0,10.0,42.7616,9,1974
0,0.796,8,0,10.0,42.9656,10,1974
0,0.796,8,0,10.0,43.1696,10,1974
0,0.796,8,0,10.0,43.3736,1,1975
0,0.7956,8,0,10.0,43.2104,1,1975
0,0.7956,8,0,10.0,43.4148,2,1975
0,0.7956,8,0,10.0,43.6192,3,1975
0,0.7956,8,0,10.0,43.8236,4,1975
0,0.7956,8,0,10.0,44.028,5,1975
0,0.7956,8,0,10.0,44.2324,7,1975
0,0.7956,8,0,10.0,44.4368,8,1975
0,0.7956,8,0,10.0,44.6412,10,1975
0,0.7956,8,0,10.0,44.8456,11,1975
0,0.7956,8,0,10.0,45.05,12,1975
0,0.7956,8,0,10.0,45.2544,1,1976
0,0.7712,8,0,10.0,43.76,2,1976
0,0.7712,8,0,10.0,43.9888,3,1976
0,0.7712,8,0,10.0,44.2176,4,1976
0,0.7984,8,0,10.0,44.4464,5,1976
0,0.7984,8,0,10.0,44.648,6,1976
0,0.7984,8,0,10.0,44.8496,7,1976
0,0.7984,8,0,10.0,45.0512,8,1976
0,0.7984,8,0,10.0,45.2528,9,1976
0,0.7984,8,0,10.0,45.4544,10,1976
0,0.7984,8,0,10.0,45.656,11,1976
0,0.7984,8,0,10.0,45.8576,12,1976
0,0.798,8,0,10.0,46.0592,1,1977
0,0.7744,8,0,10.0,44.5448,2,1977
0,0.7744,8,0,10.0,44.7704,3,1977
0,0.7744,8,0,10.0,44.996,4,1977
0,0.8284,8,0,10.0,45.2216,5,1977
0,0.8284,8,0,10.0,45.3932,6,1977
0,0.8284,8,0,10.0,45.5648,7,1977
0,0.8284,8,0,10.0,45.7364,8,1977
0,0.8284,8,0,10.0,45.908,9,1977
0,0.8284,8,0,10.0,46.0796,10,1977
0,0.8284,8,0,10.0,46.2512,11,1977
0,0.8284,8,0,10.0,46.4228,12,1977
0,0.8008,8,0,10.0,46.5944,1,1978
0,0.7772,8,0,10.0,43.5036,2,1978
0,0.7772,8,0,10.0,43.7264,3,1978
0,0.7772,8,0,10.0,43.9492,4,1978
0,0.8516,8,0,10.0,44.172,5,1978
0,0.8516,8,0,10.0,44.3204,6,1978
0,0.8516,8,0,10.0,44.4688,7,1978
0,0.8516,8,0,10.0,44.6172,8,1978
0,0.8516,8,0,10.0,44.7656,9,1978
0,0.8516,8,0,10.0,44.914,10,1978
0,0.8516,8,0,10.0,45.0624,11,1978
0,0.8516,8,0,10.0,45.2108,12,1978
0,0.7984,8,0,10.0,45.3592,1,1979
0,0.7732,8,0,10.0,41.0756,2,1979
0,0.7732,8,0,10.0,41.3024,3,1979
0,0.7732,8,0,10.0,41.5292,3,1979
0,0.7732,8,0,10.0,41.756,4,1979
0,0.7732,8,0,10.0,41.9828,5,1979
0,0.7732,8,0,10.0,42.2096,6,1979
0,0.7732,8,0,10.0,42.4364,7,1979
0,0.7732,8,0,10.0,42.6632,8,1979
0,0.7732,8,0,10.0,42.89,8,1979
0,0.7732,8,0,10.0,43.1168,9,1979
0,0.7268,8,0,10.0,43.3436,10,1979
0,0.7068,8,0,10.0,39.5208,11,1979
0,0.7068,8,0,10.0,39.814,12,1979
0,0.7296,8,0,10.0,40.1072,1,1980
0,0.7296,8,0,10.0,40.3776,1,1980
0,0.7296,8,0,10.0,40.648,2,1980
0,0.7296,8,0,10.0,40.9184,3,1980
0,0.7296,8,0,10.0,41.1888,4,1980
0,0.7296,8,0,10.0,41.4592,5,1980
0,0.7296,8,0,10.0,41.7296,6,1980
0,0.7296,8,0,10.0,42.0,7,1980
0,0.6852,8,0,10.0,42.2704,8,1980
0,0.6656,8,0,10.0,38.5024,9,1980
0,0.6656,8,0,10.0,38.8368,10,1980
0,0.6656,8,0,10.0,39.1712,12,1980
0,0.6868,8,0,10.0,39.5056,1,1981
0,0.6868,8,0,10.0,39.8188,1,1981
0,0.6868,8,0,10.0,40.132,2,1981
0,0.6868,8,0,10.0,40.4452,3,1981
0,0.6868,8,0,10.0,40.7584,4,1981
0,0.6868,8,0,10.0,41.0716,4,1981
0,0.6868,8,0,10.0,41.3848,5,1981
0,0.5552,8,0,10.0,41.698,7,1981
0,0.5408,8,0,10.0,32.812,8,1981
0,0.5408,8,0,10.0,33.2712,9,1981
0,0.5408,8,0,10.0,33.7304,10,1981
0,0.5408,8,0,10.0,34.1896,11,1981
0,0.5736,8,0,10.0,34.6488,12,1981
0,0.5736,8,0,9.0,35.0752,1,1982
0,0.5736,8,0,10.0,35.5016,2,1982
0,0.5736,8,0,10.0,35.928,3,1982
0,0.5736,8,0,10.0,36.3544,4,1982
0,0.5736,8,0,10.0,36.7808,5,1982
0,0.5268,8,0,10.0,37.2072,6,1982
0,0.5144,8,0,10.0,33.1972,7,1982
0,0.5144,8,0,10.0,33.6828,8,1982
0,0.5144,8,0,10.0,34.1684,9,1982
0,0.5144,8,0,10.0,34.654,10,1982
0,0.5144,8,0,10.0,35.1396,11,1982
0,0.5608,8,0,10.0,35.6252,12,1982
0,0.5608,8,0,10.0,36.0644,1,1983
0,0.5608,8,0,10.0,36.5036,2,1983
0,0.5608,8,0,10.0,36.9428,3,1983
0,0.5608,8,0,10.0,37.382,4,1983
0,0.5152,8,0,10.0,37.8212,5,1983
0,0.502,8,0,10.0,33.8304,6,1983
0,0.502,8,0,10.0,34.3284,7,1983
0,0.502,8,0,10.0,34.8264,9,1983
0,0.502,8,0,10.0,35.3244,10,1983
0,0.502,8,0,10.0,35.8224,11,1983
0,0.548,8,0,10.0,36.3204,12,1983
0,0.548,8,0,10.0,36.7724,12,1983
0,0.548,8,0,10.0,37.2244,2,1984
0,0.548,8,0,10.0,37.6764,3,1984
0,0.548,8,0,10.0,38.1284,4,1984
0,0.53,8,0,10.0,38.5804,5,1984
0,0.5128,8,0,10.0,36.3088,6,1984
0,0.5128,8,0,10.0,36.796,7,1984
0,0.5128,8,0,10.0,37.2832,8,1984
0,0.5128,8,0,10.0,37.7704,9,1984
0,0.5128,8,0,10.0,38.2576,10,1984
0,0.558,8,0,10.0,38.7448,11,1984
0,0.558,8,0,10.0,39.1868,12,1984
0,0.558,8,0,10.0,39.6288,1,1985
0,0.558,8,0,10.0,40.0708,2,1985
0,0.558,8,0,10.0,40.5128,3,1985
0,0.5104,8,0,10.0,40.9548,4,1985
0,0.494,8,0,10.0,36.2852,5,1985
0,0.494,8,0,10.0,36.7912,6,1985
0,0.494,8,0,10.0,37.2972,7,1985
0,0.494,8,0,10.0,37.8032,8,1985
0,0.494,8,0,10.0,38.3092,9,1985
0,0.6272,8,0,10.0,38.8152,10,1985
0,0.6272,8,0,10.0,39.188,11,1985
0,0.6272,8,0,10.0,39.5608,12,1985
0,0.6272,8,0,10.0,39.9336,1,1986
0,0.6272,8,0,10.0,40.3064,2,1986
0,0.5716,8,0,10.0,40.6792,3,1986
0,0.5552,8,0,10.0,36.0896,4,1986
0,0.5552,8,0,10.0,36.5344,5,1986
0,0.5552,8,0,10.0,36.9792,6,1986
0,0.5552,8,0,10.0,37.424,7,1986
0,0.5552,8,0,10.0,37.8688,8,1986
0,0.624,8,0,10.0,38.3136,9,1986
0,0.624,8,0,10.0,38.6896,10,1986
0,0.624,8,0,10.0,39.0656,11,1986
0,0.624,8,0,10.0,39.4416,12,1986
0,0.624,8,0,10.0,39.8176,1,1987
0,0.624,8,0,10.0,40.1936,1,1987
0,0.624,8,0,9.0,40.2176,2,1987
0,0.624,8,0,9.0,40.5936,3,1987
0,0.624,8,0,9.0,40.9696,4,1987
0,0.624,8,0,9.0,41.3456,4,1987
0,0.624,8,0,9.0,41.7216,5,1987
0,0.7064,8,0,9.0,42.0976,6,1987
0,0.7064,8,0,9.0,42.3912,7,1987
0,0.7064,8,0,9.0,42.6848,8,1987
0,0.6636,8,0,9.0,42.9784,9,1987
0,0.644,8,0,9.0,39.1856,10,1987
0,0.644,8,0,9.0,39.5416,11,1987
0,0.644,8,0,9.0,39.8976,12,1987
0,0.644,8,0,10.0,40.2536,1,1988
0,0.644,8,0,10.0,40.6096,2,1988
0,0.644,8,0,10.0,40.9656,4,1988
0,0.644,8,0,10.0,41.3216,6,1988
0,0.6832,8,0,10.0,41.6776,7,1988
0,0.6832,8,0,10.0,41.9944,9,1988
0,0.6832,8,0,10.0,42.3112,11,1988
0,0.6832,8,0,10.0,42.628,12,1988
0,0.6832,8,0,10.0,42.9448,1,1989
0,0.682,8,0,10.0,42.8332,2,1989
0,0.682,8,0,10.0,43.1512,3,1989
0,0.682,8,0,10.0,43.4692,4,1989
0,0.682,8,0,10.0,43.7872,5,1989
0,0.682,8,0,10.0,44.1052,6,1989
0,0.682,8,0,10.0,44.4232,7,1989
0,0.7772,8,0,10.0,44.7412,8,1989
0,0.7772,8,0,10.0,44.964,9,1989
0,0.7772,8,0,10.0,45.1868,10,1989
0,0.7772,8,0,10.0,45.4096,11,1989
0,0.7772,8,0,10.0,45.6324,12,1989
0,0.7772,8,0,10.0,45.8552,1,1990
0,0.758,8,0,10.0,44.446,2,1990
0,0.758,8,0,10.0,44.688,3,1990
0,0.758,8,0,10.0,44.93,4,1990
0,0.758,8,0,10.0,45.172,5,1990
0,0.758,8,0,10.0,45.414,6,1990
0,0.8548,8,0,10.0,45.656,7,1990
0,0.8548,8,0,10.0,45.8012,8,1990
0,0.8548,8,0,10.0,45.9464,9,1990
0,0.8548,8,0,10.0,46.0916,10,1990
0,0.8548,8,0,10.0,46.2368,11,1990
0,0.8548,8,0,10.0,46.382,12,1990
0,0.8268,8,0,10.0,46.5272,1,1991
0,0.8004,8,0,10.0,43.426,1,1991
0,0.8004,8,0,10.0,43.6256,2,1991
0,0.8004,8,0,10.0,43.8252,3,1991
0,0.8004,8,0,10.0,44.0248,4,1991
0,0.8004,8,0,10.0,44.2244,5,1991
0,0.8004,8,0,10.0,44.424,6,1991
0,0.8004,8,0,10.0,44.6236,7,1991
0,0.8004,8,0,10.0,44.8232,8,1991
0,0.8004,8,0,10.0,45.0228,9,1991
0,0.8004,8,0,10.0,45.2224,10,1991
0,0.8004,8,0,10.0,45.422,11,1991
0,0.8004,8,0,10.0,45.2696,12,1991
0,0.8004,8,0,10.0,45.4692,1,1992
0,0.8804,8,0,10.0,45.6688,1,1992
0,0.8804,8,0,9.0,45.7884,2,1992
0,0.8804,8,0,9.0,45.908,3,1992
0,0.8804,8,0,9.0,46.0276,4,1992
0,0.8804,8,0,9.0,46.1472,4,1992
0,0.8804,8,0,9.0,46.2668,5,1992
0,0.8804,8,0,9.0,46.3864,6,1992
0,0.8804,8,0,9.0,46.218,7,1992
0,0.8804,8,0,9.0,46.3376,8,1992
0,0.8804,8,0,9.0,46.4572,10,1992
0,0.8804,8,0,9.0,46.5768,11,1992
0,0.8804,8,0,9.0,46.6964,12,1992
0,0.8804,8,0,10.0,46.816,1,1993
0,0.8804,8,0,10.0,46.9356,2,1993
0,0.8804,8,0,10.0,47.0552,3,1993
0,0.8804,8,0,10.0,47.1748,4,1993
