int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.2924,10,0,0.0,0.0,1,1970
0,0.2744,10,0,10.0,14.4456,2,1970
0,0.2648,10,0,10.0,14.7008,3,1970
0,0.2512,10,0,10.0,14.7696,4,1970
0,0.248,10,0,10.0,15.2524,5,1970
0,0.24,10,0,10.0,15.494,6,1970
0,0.2288,10,0,10.0,15.5828,7,1970
0,0.2172,10,0,10.0,15.6468,8,1970
0,0.208,10,0,10.0,15.81,9,1970
0,0.2024,10,0,10.0,16.12,10,1970
0,0.1956,10,0,10.0,16.3572,11,1970
0,0.1956,10,0,10.0,17.1616,12,1970
0,0.1956,10,0,10.0,17.966,1,1971
0,0.1956,10,0,9.0,18.64,2,1971
0,0.1884,10,0,9.0,18.7312,3,1971
0,0.182,10,0,9.0,18.8288,4,1971
0,0.1764,10,0,9.0,18.9944,5,1971
0,0.1676,10,0,9.0,19.0392,6,1971
0,0.1616,10,0,9.0,19.1788,7,1971
0,0.1552,10,0,9.0,19.3076,8,1971
0,0.1492,10,0,9.0,19.458,9,1971
0,0.144,10,0,9.0,19.658,10,1971
0,0.1404,10,0,9.0,19.8944,11,1971
0,0.1404,10,0,9.0,20.754,12,1971
0,0.1404,10,0,9.0,21.6136,1,1972
0,0.1404,10,0,9.0,22.3376,2,1972
0,0.1344,10,0,9.0,22.3288,3,1972
0,0.1276,10,0,9.0,22.2744,4,1972
0,0.12,10,0,9.0,22.2592,5,1972
0,0.1156,10,0,9.0,22.3184,6,1972
0,0.1132,10,0,9.0,22.4848,7,1972
0,0.11,10,0,9.0,22.6084,8,1972
0,0.1072,10,0,9.0,22.7204,9,1972
0,0.1032,10,0,9.0,22.8392,10,1972
0,0.0976,10,0,9.0,22.8468,11,1972
0,0.0976,10,0,9.0,23.749200000000002,12,1972
0,0.0976,10,0,9.0,24.6516,1,1973
0,0.0976,10,0,9.0,25.4268,2,1973
0,0.0956,10,0,9.0,25.448,3,1973
0,0.0908,10,0,9.0,25.3076,4,1973
0,0.0848,10,0,9.0,25.2364,5,1973
0,0.082,10,0,9.0,25.2864,6,1973
0,0.0792,10,0,9.0,25.2912,7,1973
0,0.0772,10,0,9.0,25.2816,8,1973
0,0.0736,10,0,9.0,25.2676,9,1973
0,0.0712,10,0,9.0,25.245600000000003,10,1973
0,0.0684,10,0,9.0,25.254,11,1973
0,0.0684,10,0,9.0,26.1856,12,1973
0,0.0684,10,0,9.0,27.1172,1,1974
0,0.0684,10,0,9.0,27.9212,2,1974
0,0.27,10,0,9.0,27.85,3,1974
0,0.2636,10,0,9.0,27.5524,5,1974
0,0.2544,10,0,9.0,27.2212,6,1974
0,0.2528,10,0,9.0,27.0096,7,1974
0,0.2484,10,0,9.0,26.6468,8,1974
0,0.2488,10,0,9.0,26.4808,9,1974
0,0.2496,10,0,9.0,26.434,10,1974
0,0.248,10,0,9.0,26.1812,11,1974
0,0.2588,10,0,9.0,26.9332,12,1974
0,0.2588,10,0,9.0,27.6744,1,1975
0,0.2588,10,0,9.0,28.2888,2,1975
0,0.2484,10,0,9.0,27.8876,3,1975
0,0.2504,10,0,9.0,27.5624,4,1975
0,0.2524,10,0,9.0,27.22,5,1975
0,0.2592,10,0,9.0,27.132,6,1975
0,0.2584,10,0,9.0,26.9644,7,1975
0,0.2596,10,0,9.0,26.8376,8,1975
0,0.2576,10,0,9.0,26.5244,9,1975
0,0.2584,10,0,9.0,26.3352,10,1975
0,0.254,10,0,9.0,26.094,11,1975
0,0.2632,10,0,9.0,26.84,12,1975
0,0.2632,10,0,9.0,27.5768,1,1976
0,0.2632,10,0,9.0,28.188,2,1976
0,0.2528,10,0,9.0,27.8444,3,1976
0,0.2552,10,0,9.0,27.5408,4,1976
0,0.2584,10,0,9.0,27.392,5,1976
0,0.2576,10,0,9.0,27.098,6,1976
0,0.2576,10,0,9.0,26.8088,7,1976
0,0.2568,10,0,9.0,26.6284,8,1976
0,0.2576,10,0,9.0,26.4156,9,1976
0,0.26,10,0,9.0,26.3392,10,1976
0,0.2588,10,0,9.0,26.1108,11,1976
0,0.2684,10,0,9.0,26.852,12,1976
0,0.2684,10,0,9.0,27.5836,1,1977
0,0.2684,10,0,9.0,28.1824,2,1977
0,0.2588,10,0,9.0,27.8372,3,1977
0,0.26,10,0,9.0,27.55,4,1977
0,0.26,10,0,9.0,27.4428,5,1977
0,0.2584,10,0,9.0,27.1608,6,1977
0,0.2528,10,0,9.0,26.7824,7,1977
0,0.25,10,0,9.0,26.472,8,1977
0,0.2472,10,0,9.0,26.2404,9,1977
0,0.2464,10,0,9.0,25.9352,10,1977
0,0.244,10,0,9.0,25.6752,11,1977
0,0.252,10,0,9.0,26.4312,12,1977
0,0.252,10,0,9.0,27.1792,1,1978
0,0.252,10,0,9.0,27.8012,2,1978
0,0.2428,10,0,9.0,27.5404,3,1978
0,0.2444,10,0,9.0,27.3112,4,1978
0,0.2448,10,0,9.0,27.156,5,1978
0,0.2488,10,0,9.0,26.9412,6,1978
0,0.2496,10,0,9.0,26.7604,7,1978
0,0.2456,10,0,9.0,26.4484,8,1978
0,0.2488,10,0,9.0,26.35,9,1978
0,0.254,10,0,9.0,26.2388,10,1978
0,0.2508,10,0,9.0,25.9908,11,1978
0,0.2508,10,0,9.0,26.74,12,1978
0,0.2508,10,0,9.0,27.4892,1,1979
0,0.2508,10,0,9.0,28.1112,3,1979
0,0.2524,10,0,9.0,27.728,4,1979
0,0.252,10,0,9.0,27.4544,5,1979
0,0.2524,10,0,9.0,27.1632,6,1979
0,0.2516,10,0,9.0,26.9644,7,1979
0,0.25,10,0,9.0,26.6704,8,1979
0,0.2476,10,0,9.0,26.464,9,1979
0,0.2504,10,0,9.0,26.2776,10,1979
0,0.2496,10,0,9.0,25.9968,11,1979
0,0.2616,10,0,9.0,26.7472,12,1979
0,0.2616,10,0,9.0,27.4856,1,1980
0,0.2616,10,0,9.0,28.0948,2,1980
0,0.2512,10,0,9.0,27.7228,3,1980
0,0.2492,10,0,9.0,27.4628,4,1980
0,0.2424,10,0,9.0,27.1116,5,1980
0,0.2464,10,0,9.0,27.012,6,1980
0,0.2468,10,0,9.0,26.7372,7,1980
0,0.2464,10,0,9.0,26.6312,8,1980
0,0.2472,10,0,9.0,26.5096,9,1980
0,0.2492,10,0,9.0,26.3268,10,1980
0,0.2532,10,0,9.0,26.1868,11,1980
0,0.262,10,0,9.0,26.9336,12,1980
0,0.262,10,0,9.0,27.6716,1,1981
0,0.2612,10,0,9.0,28.2352,2,1981
0,0.254,10,0,9.0,27.9768,3,1981
