int(self),tree_cov,global_min_size,avg_grove_size,n_respectful_sheperd,n_disrespectful_sheperd,goat_eating_cap,min_spread_seed_proba,current_date.month,current_date.year
0,0.5476,9.0,37.896,6,4,0.5,0.0065,1,1975
1,0.5476,9.0,37.896,6,4,0.5,0.0065,1,1975
2,0.5768,9.0,39.1016,6,4,0.4,0.0065,1,1975
3,0.5768,9.0,39.1016,6,4,0.4,0.0065,1,1975
4,0.5372,9.0,37.5388,6,4,0.6,0.0065,1,1975
5,0.5372,9.0,37.5388,6,4,0.6,0.0065,1,1975
6,0.5476,9.0,37.896,6,4,0.5,0.006,1,1975
7,0.5476,9.0,37.896,6,4,0.5,0.006,1,1975
8,0.5476,9.0,37.896,6,4,0.5,0.007,1,1975
9,0.5476,9.0,37.896,6,4,0.5,0.007,1,1975
10,0.5444,9.0,37.8652,5,5,0.5,0.0065,1,1975
11,0.5444,9.0,37.8652,5,5,0.5,0.0065,1,1975
12,0.5324,9.0,37.7212,7,3,0.5,0.0065,1,1975
13,0.5324,9.0,37.7212,7,3,0.5,0.0065,1,1975
14,0.588,9.0,39.48,7,3,0.4,0.0065,1,1975
15,0.588,9.0,39.48,7,3,0.4,0.0065,1,1975
16,0.5076,9.0,37.2236,7,3,0.6,0.0065,1,1975
17,0.5076,9.0,37.2236,7,3,0.6,0.0065,1,1975
18,0.5324,9.0,37.7212,7,3,0.5,0.006,1,1975
19,0.5324,9.0,37.7212,7,3,0.5,0.006,1,1975
20,0.5324,9.0,37.7212,7,3,0.5,0.007,1,1975
21,0.5324,9.0,37.7212,7,3,0.5,0.007,1,1975
22,0.5376,9.0,37.608,8,2,0.5,0.0065,1,1975
23,0.5376,9.0,37.608,8,2,0.5,0.0065,1,1975
24,0.5996,9.0,39.766,8,2,0.4,0.0065,1,1975
25,0.5996,9.0,39.766,8,2,0.4,0.0065,1,1975
26,0.5228,9.0,37.5736,8,2,0.6,0.0065,1,1975
27,0.5228,9.0,37.5736,8,2,0.6,0.0065,1,1975
28,0.5376,9.0,37.608,8,2,0.5,0.006,1,1975
29,0.5376,9.0,37.608,8,2,0.5,0.006,1,1975
30,0.5376,9.0,37.608,8,2,0.5,0.007,1,1975
31,0.5376,9.0,37.608,8,2,0.5,0.007,1,1975
32,0.5416,9.0,37.858,9,1,0.5,0.0065,1,1975
33,0.5416,9.0,37.858,9,1,0.5,0.0065,1,1975
34,0.5876,9.0,39.636,9,1,0.4,0.0065,1,1975
35,0.5876,9.0,39.636,9,1,0.4,0.0065,1,1975
36,0.5132,9.0,37.522,9,1,0.6,0.0065,1,1975
37,0.5132,9.0,37.522,9,1,0.6,0.0065,1,1975
38,0.5416,9.0,37.858,9,1,0.5,0.006,1,1975
39,0.5416,9.0,37.858,9,1,0.5,0.006,1,1975
40,0.5416,9.0,37.858,9,1,0.5,0.007,1,1975
41,0.5416,9.0,37.858,9,1,0.5,0.007,1,1975
42,0.548,9.0,38.0324,10,0,0.5,0.0065,1,1975
43,0.548,9.0,38.0324,10,0,0.5,0.0065,1,1975
44,0.608,9.0,39.84,10,0,0.4,0.0065,1,1975
45,0.608,9.0,39.84,10,0,0.4,0.0065,1,1975
46,0.5288,9.0,37.63,10,0,0.6,0.0065,1,1975
47,0.5288,9.0,37.63,10,0,0.6,0.0065,1,1975
48,0.548,9.0,38.0324,10,0,0.5,0.006,1,1975
49,0.548,9.0,38.0324,10,0,0.5,0.006,1,1975
50,0.548,9.0,38.0324,10,0,0.5,0.007,1,1975
51,0.548,9.0,38.0324,10,0,0.5,0.007,1,1975
52,0.608,9.0,39.84,10,0,0.4,0.007,1,1975
53,0.608,9.0,39.84,10,0,0.4,0.007,1,1975
54,0.5288,9.0,37.63,10,0,0.6,0.007,1,1975
55,0.5288,9.0,37.63,10,0,0.6,0.007,1,1975
56,0.548,9.0,38.0324,10,0,0.5,0.0075,1,1975
57,0.548,9.0,38.0324,10,0,0.5,0.0075,1,1975
58,0.608,9.0,39.84,10,0,0.4,0.0075,1,1975
59,0.608,9.0,39.84,10,0,0.4,0.0075,1,1975
60,0.5288,9.0,37.63,10,0,0.6,0.0075,1,1975
61,0.5288,9.0,37.63,10,0,0.6,0.0075,1,1975
62,0.548,9.0,38.0324,10,0,0.5,0.008,1,1975
63,0.548,9.0,38.0324,10,0,0.5,0.008,1,1975
64,0.5416,9.0,37.858,9,1,0.5,0.0075,1,1975
65,0.5416,9.0,37.858,9,1,0.5,0.0075,1,1975
66,0.5876,9.0,39.636,9,1,0.4,0.0075,1,1975
67,0.5876,9.0,39.636,9,1,0.4,0.0075,1,1975
68,0.5132,9.0,37.522,9,1,0.6,0.0075,1,1975
69,0.5132,9.0,37.522,9,1,0.6,0.0075,1,1975
70,0.5416,9.0,37.858,9,1,0.5,0.008,1,1975
71,0.5416,9.0,37.858,9,1,0.5,0.008,1,1975
72,0.5376,9.0,37.608,8,2,0.5,0.0075,1,1975
73,0.5376,9.0,37.608,8,2,0.5,0.0075,1,1975
74,0.5996,9.0,39.766,8,2,0.4,0.0075,1,1975
75,0.5996,9.0,39.766,8,2,0.4,0.0075,1,1975
76,0.5228,9.0,37.5736,8,2,0.6,0.0075,1,1975
77,0.5228,9.0,37.5736,8,2,0.6,0.0075,1,1975
78,0.5376,9.0,37.608,8,2,0.5,0.008,1,1975
79,0.5376,9.0,37.608,8,2,0.5,0.008,1,1975
80,0.5324,9.0,37.7212,7,3,0.5,0.0075,1,1975
81,0.5324,9.0,37.7212,7,3,0.5,0.0075,1,1975
82,0.588,9.0,39.48,7,3,0.4,0.0075,1,1975
83,0.588,9.0,39.48,7,3,0.4,0.0075,1,1975
84,0.5076,9.0,37.2236,7,3,0.6,0.0075,1,1975
85,0.5076,9.0,37.2236,7,3,0.6,0.0075,1,1975
86,0.5324,9.0,37.7212,7,3,0.5,0.008,1,1975
87,0.5324,9.0,37.7212,7,3,0.5,0.008,1,1975
88,0.5476,9.0,37.896,6,4,0.5,0.0075,1,1975
89,0.5476,9.0,37.896,6,4,0.5,0.0075,1,1975
90,0.5768,9.0,39.1016,6,4,0.4,0.0075,1,1975
91,0.5768,9.0,39.1016,6,4,0.4,0.0075,1,1975
92,0.5372,9.0,37.5388,6,4,0.6,0.0075,1,1975
93,0.5372,9.0,37.5388,6,4,0.6,0.0075,1,1975
94,0.5476,9.0,37.896,6,4,0.5,0.008,1,1975
95,0.5476,9.0,37.896,6,4,0.5,0.008,1,1975
96,0.5444,9.0,37.8652,5,5,0.5,0.0075,1,1975
97,0.5444,9.0,37.8652,5,5,0.5,0.0075,1,1975
