int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.2932,0,10,0.0,0.0,1,1970
0,0.2932,0,10,10.0,15.3668,2,1970
0,0.2696,0,10,10.0,15.2532,3,1970
0,0.266,0,10,10.0,15.5028,4,1970
0,0.2596,0,10,10.0,15.9616,5,1970
0,0.2588,0,10,10.0,16.5724,6,1970
0,0.2572,0,10,10.0,17.2464,7,1970
0,0.2572,0,10,10.0,17.9636,8,1970
0,0.2568,0,10,10.0,18.6928,9,1970
0,0.2568,0,10,10.0,19.4296,10,1970
0,0.2568,0,10,10.0,20.1728,11,1970
0,0.2568,0,10,10.0,20.916,12,1970
0,0.2568,0,10,10.0,21.6592,1,1971
0,0.2568,0,10,9.0,21.9424,2,1971
0,0.246,0,10,9.0,21.9664,3,1971
0,0.2408,0,10,9.0,22.088,4,1971
0,0.2324,0,10,9.0,22.1344,5,1971
0,0.2252,0,10,9.0,22.2356,6,1971
0,0.22,0,10,9.0,22.4268,7,1971
0,0.2124,0,10,9.0,22.6244,8,1971
0,0.2076,0,10,9.0,22.894,9,1971
0,0.2044,0,10,9.0,23.2308,10,1971
0,0.1996,0,10,9.0,23.5752,11,1971
0,0.1996,0,10,9.0,24.3756,12,1971
0,0.1996,0,10,9.0,25.176,1,1972
0,0.1996,0,10,9.0,25.7584,2,1972
0,0.1944,0,10,9.0,26.1372,3,1972
0,0.1896,0,10,9.0,26.5256,4,1972
0,0.1864,0,10,9.0,26.9056,5,1972
0,0.184,0,10,9.0,27.288,6,1972
0,0.18,0,10,9.0,27.6712,7,1972
0,0.1784,0,10,9.0,27.9784,8,1972
0,0.1716,0,10,9.0,27.9476,9,1972
0,0.168,0,10,9.0,28.07,10,1972
0,0.1652,0,10,9.0,28.2244,11,1972
0,0.1652,0,10,9.0,29.0592,12,1972
0,0.1652,0,10,9.0,29.894,1,1973
0,0.1652,0,10,9.0,30.6264,2,1973
0,0.1628,0,10,9.0,31.2144,3,1973
0,0.162,0,10,9.0,31.918,4,1973
0,0.1612,0,10,9.0,32.5848,5,1973
0,0.1612,0,10,9.0,33.3432,6,1973
0,0.1612,0,10,9.0,34.0476,7,1973
0,0.1612,0,10,9.0,34.572,8,1973
0,0.1568,0,10,9.0,34.6732,9,1973
0,0.1564,0,10,9.0,35.0172,10,1973
0,0.1512,0,10,9.0,35.0068,11,1973
0,0.1512,0,10,9.0,35.8556,12,1973
0,0.1512,0,10,9.0,36.7044,1,1974
0,0.1512,0,10,9.0,37.304,2,1974
0,0.5464,0,10,9.0,37.6552,3,1974
0,0.544,0,10,9.0,37.7912,5,1974
0,0.5524,0,10,9.0,37.8372,6,1974
0,0.5476,0,10,9.0,37.842,7,1974
0,0.5464,0,10,9.0,37.8768,8,1974
0,0.5404,0,10,9.0,37.7596,9,1974
0,0.5252,0,10,9.0,37.4136,10,1974
0,0.52,0,10,9.0,37.3044,11,1974
0,0.5204,0,10,9.0,37.7844,12,1974
0,0.5204,0,10,9.0,38.264,1,1975
0,0.5204,0,10,9.0,38.5512,2,1975
0,0.5152,0,10,9.0,38.6348,3,1975
0,0.5336,0,10,9.0,38.8248,4,1975
0,0.5464,0,10,9.0,38.9444,5,1975
0,0.5556,0,10,9.0,39.07,6,1975
0,0.5636,0,10,9.0,39.184,7,1975
0,0.5756,0,10,9.0,39.046,8,1975
0,0.5716,0,10,9.0,38.432,9,1975
0,0.5768,0,10,9.0,38.1512,10,1975
0,0.5728,0,10,9.0,37.6596,11,1975
0,0.5836,0,10,9.0,38.0868,12,1975
0,0.5836,0,10,9.0,38.5032,1,1976
0,0.5836,0,10,9.0,38.552,2,1976
0,0.5708,0,10,9.0,38.3144,3,1976
0,0.5764,0,10,9.0,38.3532,4,1976
0,0.5736,0,10,9.0,38.184,5,1976
0,0.5748,0,10,9.0,38.0984,6,1976
0,0.5768,0,10,9.0,37.9524,7,1976
0,0.5752,0,10,9.0,37.7188,8,1976
0,0.5688,0,10,9.0,37.3032,9,1976
0,0.5788,0,10,9.0,37.0568,10,1976
0,0.5828,0,10,9.0,36.81,11,1976
0,0.5944,0,10,9.0,37.2272,12,1976
0,0.5944,0,10,9.0,37.6328,1,1977
0,0.5944,0,10,9.0,37.7904,2,1977
0,0.5876,0,10,9.0,37.8,3,1977
0,0.588,0,10,9.0,37.8724,4,1977
0,0.5844,0,10,9.0,37.9464,5,1977
0,0.5812,0,10,9.0,37.9644,6,1977
0,0.576,0,10,9.0,37.96,7,1977
0,0.5728,0,10,9.0,37.8712,8,1977
0,0.5632,0,10,9.0,37.4744,9,1977
0,0.5644,0,10,9.0,37.28,10,1977
0,0.56,0,10,9.0,37.0276,11,1977
0,0.5796,0,10,9.0,37.4676,12,1977
0,0.5796,0,10,9.0,37.888,1,1978
0,0.5796,0,10,9.0,38.0652,2,1978
0,0.5684,0,10,9.0,38.0008,3,1978
0,0.5764,0,10,9.0,38.1652,4,1978
0,0.5724,0,10,9.0,38.184,5,1978
0,0.5748,0,10,9.0,38.2308,6,1978
0,0.5764,0,10,9.0,38.27,7,1978
0,0.58,0,10,9.0,38.1916,8,1978
0,0.5684,0,10,9.0,37.7076,9,1978
0,0.5744,0,10,9.0,37.5068,10,1978
0,0.5648,0,10,9.0,37.1248,11,1978
0,0.5648,0,10,9.0,37.56,12,1978
0,0.5648,0,10,9.0,37.9952,1,1979
0,0.5648,0,10,9.0,38.1028,3,1979
0,0.5644,0,10,9.0,37.9984,4,1979
0,0.5648,0,10,9.0,38.072,5,1979
0,0.5632,0,10,9.0,37.9956,6,1979
0,0.5636,0,10,9.0,38.0424,7,1979
0,0.5628,0,10,9.0,38.0156,8,1979
0,0.5604,0,10,9.0,37.8388,9,1979
0,0.5588,0,10,9.0,37.3864,10,1979
0,0.558,0,10,9.0,37.1288,11,1979
0,0.5732,0,10,9.0,37.5708,12,1979
0,0.5732,0,10,9.0,37.9976,1,1980
0,0.5732,0,10,9.0,38.1952,2,1980
0,0.5668,0,10,9.0,38.2104,3,1980
0,0.576,0,10,9.0,38.3388,4,1980
0,0.5752,0,10,9.0,38.42,5,1980
0,0.5808,0,10,9.0,38.5292,6,1980
0,0.5836,0,10,9.0,38.6396,7,1980
0,0.5852,0,10,9.0,38.5096,8,1980
0,0.5772,0,10,9.0,38.046,9,1980
0,0.5844,0,10,9.0,37.8508,10,1980
0,0.5844,0,10,9.0,37.592,11,1980
0,0.5932,0,10,9.0,38.0076,12,1980
0,0.5932,0,10,9.0,38.4144,1,1981
0,0.5932,0,10,9.0,38.6028,2,1981
0,0.5872,0,10,9.0,38.5976,3,1981
0,0.5924,0,10,9.0,38.7196,4,1981
0,0.5892,0,10,9.0,38.7384,5,1981
0,0.5912,0,10,9.0,38.7588,6,1981
0,0.5916,0,10,9.0,38.8072,7,1981
0,0.5904,0,10,9.0,38.6768,8,1981
0,0.584,0,10,9.0,38.2784,9,1981
0,0.5924,0,10,9.0,38.0936,10,1981
0,0.5864,0,10,9.0,37.7884,11,1981
0,0.5964,0,10,9.0,38.202,12,1981
0,0.5964,0,10,9.0,38.6056,1,1982
0,0.5964,0,10,9.0,38.73,2,1982
0,0.5844,0,10,9.0,38.5648,3,1982
0,0.5892,0,10,9.0,38.602,4,1982
0,0.584,0,10,9.0,38.5412,5,1982
0,0.5872,0,10,9.0,38.4808,6,1982
0,0.586,0,10,9.0,38.4316,7,1982
0,0.586,0,10,9.0,38.2424,8,1982
0,0.5752,0,10,9.0,37.8668,9,1982
0,0.5808,0,10,9.0,37.6928,10,1982
0,0.5784,0,10,9.0,37.4804,11,1982
0,0.592,0,10,9.0,37.902,12,1982
0,0.592,0,10,9.0,38.31,1,1983
0,0.592,0,10,9.0,38.4952,2,1983
0,0.5844,0,10,9.0,38.4512,3,1983
0,0.588,0,10,9.0,38.4768,4,1983
0,0.5844,0,10,9.0,38.4612,5,1983
0,0.59,0,10,9.0,38.488,7,1983
0,0.5872,0,10,9.0,38.4896,8,1983
0,0.588,0,10,9.0,38.3516,9,1983
0,0.5796,0,10,9.0,37.8484,10,1983
0,0.5848,0,10,9.0,37.5472,11,1983
0,0.5928,0,10,9.0,37.9624,12,1983
0,0.5928,0,10,9.0,38.3696,1,1984
0,0.5928,0,10,9.0,38.5496,2,1984
0,0.5848,0,10,9.0,38.558,3,1984
0,0.5908,0,10,9.0,38.704,4,1984
0,0.59,0,10,9.0,38.7492,5,1984
