int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.2996,10,0,0.0,0.0,1,1970
0,0.2896,10,0,10.0,15.3404,2,1970
0,0.2796,10,0,10.0,15.5508,3,1970
0,0.2704,10,0,10.0,15.7984,4,1970
0,0.2676,10,0,10.0,16.2856,5,1970
0,0.266,10,0,10.0,16.9188,6,1970
0,0.2652,10,0,10.0,17.6,7,1970
0,0.2648,10,0,10.0,18.3084,8,1970
0,0.2648,10,0,10.0,19.0372,9,1970
0,0.2648,10,0,10.0,19.7724,10,1970
0,0.2648,10,0,10.0,20.5076,11,1970
0,0.2648,10,0,10.0,21.2428,12,1970
0,0.2648,10,0,10.0,21.978,1,1971
0,0.2648,10,0,9.0,22.2632,2,1971
0,0.254,10,0,9.0,22.2768,3,1971
0,0.246,10,0,9.0,22.3172,4,1971
0,0.2376,10,0,9.0,22.3936,5,1971
0,0.2304,10,0,9.0,22.522,6,1971
0,0.2248,10,0,9.0,22.7228,7,1971
0,0.2208,10,0,9.0,22.9856,8,1971
0,0.2148,10,0,9.0,23.27,9,1971
0,0.2124,10,0,9.0,23.694,10,1971
0,0.2088,10,0,9.0,24.0856,11,1971
0,0.2088,10,0,9.0,24.8768,12,1971
0,0.2088,10,0,9.0,25.668,1,1972
0,0.2088,10,0,9.0,26.2796,2,1972
0,0.204,10,0,9.0,26.7172,3,1972
0,0.204,10,0,9.0,27.1892,4,1972
0,0.2008,10,0,9.0,27.5336,5,1972
0,0.198,10,0,9.0,27.9396,6,1972
0,0.196,10,0,9.0,28.3556,7,1972
0,0.1928,10,0,9.0,28.654,8,1972
0,0.186,10,0,9.0,28.594,9,1972
0,0.1816,10,0,9.0,28.6312,10,1972
0,0.1752,10,0,9.0,28.6896,11,1972
0,0.1752,10,0,9.0,29.5144,12,1972
0,0.1752,10,0,9.0,30.3392,1,1973
0,0.1752,10,0,9.0,31.008,2,1973
0,0.1736,10,0,9.0,31.5716,3,1973
0,0.1736,10,0,9.0,32.288,4,1973
0,0.1736,10,0,9.0,32.998,5,1973
0,0.1732,10,0,9.0,33.7296,6,1973
0,0.1728,10,0,9.0,34.4436,7,1973
0,0.1716,10,0,9.0,34.9604,8,1973
0,0.1644,10,0,9.0,35.0028,9,1973
0,0.1636,10,0,9.0,35.2428,10,1973
0,0.158,10,0,9.0,35.1336,11,1973
0,0.158,10,0,9.0,35.9756,12,1973
0,0.158,10,0,9.0,36.8176,1,1974
0,0.158,10,0,9.0,37.354000000000006,2,1974
0,0.5532,10,0,9.0,37.6228,3,1974
0,0.5552,10,0,9.0,37.6964,5,1974
0,0.5536,10,0,9.0,37.7208,6,1974
0,0.5548,10,0,9.0,37.8256,7,1974
0,0.5508,10,0,9.0,37.8528,8,1974
0,0.542,10,0,9.0,37.6568,9,1974
0,0.53,10,0,9.0,37.3136,10,1974
0,0.5224,10,0,9.0,37.1492,11,1974
0,0.5224,10,0,9.0,37.6268,12,1974
0,0.5224,10,0,9.0,38.1044,1,1975
0,0.5224,10,0,9.0,38.3812,2,1975
0,0.5168,10,0,9.0,38.4864,3,1975
0,0.5312,10,0,9.0,38.6384,4,1975
0,0.5372,10,0,9.0,38.7096,5,1975
0,0.55,10,0,9.0,38.8228,6,1975
0,0.5584,10,0,9.0,38.864,7,1975
0,0.5672,10,0,9.0,38.68,8,1975
0,0.5656,10,0,9.0,38.2204,9,1975
0,0.5708,10,0,9.0,37.946,10,1975
0,0.5708,10,0,9.0,37.6848,11,1975
0,0.5812,10,0,9.0,38.114,12,1975
0,0.5812,10,0,9.0,38.5328,1,1976
0,0.5812,10,0,9.0,38.7372,2,1976
0,0.5752,10,0,9.0,38.7712,3,1976
0,0.5796,10,0,9.0,38.9168,4,1976
0,0.5804,10,0,9.0,38.942,5,1976
0,0.5852,10,0,9.0,38.8636,6,1976
0,0.588,10,0,9.0,38.8748,7,1976
0,0.5916,10,0,9.0,38.6588,8,1976
0,0.5856,10,0,9.0,38.1808,9,1976
0,0.5928,10,0,9.0,37.8344,10,1976
0,0.5928,10,0,9.0,37.5072,11,1976
0,0.61,10,0,9.0,37.9144,12,1976
0,0.61,10,0,9.0,38.3044,1,1977
0,0.61,10,0,9.0,38.422,2,1977
0,0.6012,10,0,9.0,38.3364,3,1977
0,0.6044,10,0,9.0,38.4048,4,1977
0,0.598,10,0,9.0,38.362,5,1977
0,0.5956,10,0,9.0,38.392,6,1977
0,0.5868,10,0,9.0,38.3044,7,1977
0,0.5856,10,0,9.0,38.192,8,1977
0,0.5644,10,0,9.0,37.548,9,1977
0,0.5708,10,0,9.0,37.3212,10,1977
0,0.5604,10,0,9.0,36.8856,11,1977
0,0.5776,10,0,9.0,37.3252,12,1977
0,0.5776,10,0,9.0,37.7476,1,1978
0,0.5776,10,0,9.0,37.858,2,1978
0,0.5676,10,0,9.0,37.7524,3,1978
0,0.5764,10,0,9.0,37.8236,4,1978
0,0.574,10,0,9.0,37.794,5,1978
0,0.5752,10,0,9.0,37.7968,6,1978
0,0.5748,10,0,9.0,37.8476,7,1978
0,0.572,10,0,9.0,37.674,8,1978
0,0.566,10,0,9.0,37.2748,9,1978
0,0.5708,10,0,9.0,37.0576,10,1978
0,0.5696,10,0,9.0,36.8148,11,1978
0,0.5696,10,0,9.0,37.2452,12,1978
0,0.5696,10,0,9.0,37.6756,1,1979
0,0.5696,10,0,9.0,37.8648,3,1979
0,0.5692,10,0,9.0,37.8252,4,1979
0,0.5696,10,0,9.0,37.8616,5,1979
0,0.5656,10,0,9.0,37.8888,6,1979
0,0.564,10,0,9.0,37.9064,7,1979
